Date,Open,High,Low,Close,Adj Close,Volume,
2022-01-03,74.463,74.484,74.244,74.463,74.463,0,-0.13%
4-Jan-22,74.385,74.712,74.375,74.385,74.385,0,0.17%
5-Jan-22,74.545,74.622,74.253,74.545,74.545,0,-0.30%
6-Jan-22,74.457,74.522,74.325,74.457,74.457,0,0.13%
7-Jan-22,74.457,74.457,74.245,74.457,74.457,0,-0.15%
10-Jan-22,74.23,74.243,74.005,74.23,74.23,0,-0.34%
11-Jan-22,74.025,74.058,73.755,74.025,74.025,0,-0.31%
12-Jan-22,73.802,74.055,73.748,73.802,73.802,0,-0.02%
13-Jan-22,73.783,73.999,73.783,73.783,73.783,0,0.24%
14-Jan-22,73.954,74.221,73.916,73.954,73.954,0,0.26%
17-Jan-22,74.187,74.365,74.125,74.187,74.187,0,0.12%
18-Jan-22,74.254,74.622,74.213,74.254,74.254,0,0.43%
19-Jan-22,74.569,74.735,74.36,74.569,74.569,0,-0.18%
20-Jan-22,74.414,74.533,74.292,74.414,74.414,0,0.02%
21-Jan-22,74.473,74.578,74.276,74.473,74.473,0,-0.08%
24-Jan-22,74.373,74.749,74.298,74.373,74.373,0,0.31%
25-Jan-22,74.645,74.829,74.56,74.645,74.645,0,0.21%
26-Jan-22,74.794,74.967,74.697,74.794,74.794,0,0.14%
27-Jan-22,75.123,75.327,75.054,75.123,75.123,0,0.42%
28-Jan-22,75.22,75.234,74.874,75.22,75.22,0,-0.20%
31-Jan-22,75.033,75.074,74.556,75.033,75.033,0,-0.67%
1-Feb-22,74.563,74.882,74.41,74.563,74.563,0,0.26%
2-Feb-22,74.751,75.022,74.672,74.751,74.751,0,0.10%
3-Feb-22,74.863,74.948,74.623,74.863,74.863,0,-0.21%
4-Feb-22,74.644,74.866,74.613,74.644,74.644,0,0.00%
7-Feb-22,74.699,74.783,74.605,74.699,74.699,0,-0.02%
8-Feb-22,74.641,74.81,74.575,74.641,74.641,0,0.08%
9-Feb-22,74.718,74.872,74.63,74.718,74.718,0,0.12%
10-Feb-22,74.809,75.288,74.804,74.809,74.809,0,0.40%
11-Feb-22,75.315,75.506,75.171,75.315,75.315,0,0.33%
14-Feb-22,75.573,75.712,75.355,75.573,75.573,0,0.45%
15-Feb-22,75.63,75.736,75.162,75.63,75.63,0,-0.67%
16-Feb-22,75.175,75.297,74.947,75.175,75.175,0,-0.17%
17-Feb-22,74.993,75.238,74.953,74.993,74.993,0,0.10%
18-Feb-22,75.075,75.105,74.479,75.075,75.075,0,-0.57%
21-Feb-22,74.584,74.741,74.343,74.584,74.584,0,-0.23%
22-Feb-22,74.697,74.994,74.616,74.697,74.697,0,0.17%
23-Feb-22,74.625,74.73,74.532,74.625,74.625,0,0.01%
24-Feb-22,74.692,75.848,74.657,74.692,74.692,0,1.30%
25-Feb-22,75.428,75.488,75.075,75.428,75.428,0,-0.71%
28-Feb-22,75.76,75.79,75.282,75.76,75.76,0,0.58%
1-Mar-22,75.289,75.816,75.26,75.289,75.289,0,0.34%
2-Mar-22,75.912,75.94,75.569,75.912,75.912,0,-0.19%
3-Mar-22,75.652,76.02,75.603,75.652,75.652,0,0.44%
4-Mar-22,75.935,76.451,75.935,75.935,75.935,0,0.61%
7-Mar-22,76.675,77.173,76.658,76.675,76.675,0,0.72%
8-Mar-22,76.984,77.187,76.715,76.984,76.984,0,-0.09%
9-Mar-22,76.915,77.004,76.317,76.915,76.915,0,-0.70%
10-Mar-22,76.256,76.505,76.056,76.256,76.256,0,-0.09%
11-Mar-22,76.372,76.715,76.249,76.372,76.372,0,0.25%
14-Mar-22,76.663,76.715,76.445,76.663,76.663,0,-0.07%
15-Mar-22,76.47,76.683,76.297,76.47,76.47,0,-0.03%
16-Mar-22,76.266,76.486,76.117,76.266,76.266,0,-0.29%
17-Mar-22,76.056,76.081,75.753,76.056,76.056,0,-0.36%
18-Mar-22,76.079,76.215,76.007,76.079,76.079,0,0.18%
21-Mar-22,76.058,76.293,76.005,76.058,76.058,0,0.30%
22-Mar-22,76.29,76.498,75.995,76.29,76.29,0,-0.20%
23-Mar-22,76.121,76.53,75.977,76.121,76.121,0,0.51%
24-Mar-22,76.53,76.53,76.188,76.53,76.53,0,-0.29%
25-Mar-22,76.246,76.309,76.125,76.246,76.246,0,-0.03%
28-Mar-22,76.325,76.385,76.039,76.325,76.325,0,-0.26%
29-Mar-22,75.98,76.164,75.566,75.98,75.98,0,-0.58%
30-Mar-22,75.662,75.988,75.603,75.662,75.662,0,0.21%
31-Mar-22,75.827,75.968,75.643,75.827,75.827,0,0.13%
1-Apr-22,75.925,76.026,75.846,75.925,75.925,0,0.09%
4-Apr-22,75.92,75.945,75.359,75.92,75.92,0,-0.72%
5-Apr-22,75.44,75.56,75.266,75.44,75.44,0,0.02%
6-Apr-22,75.428,76.077,75.41,75.428,75.428,0,0.64%
7-Apr-22,75.945,76.055,75.762,75.945,75.945,0,-0.05%
8-Apr-22,75.93,76.065,75.702,75.93,75.93,0,0.06%
11-Apr-22,75.962,76.09,75.784,75.962,75.962,0,-0.17%
12-Apr-22,75.94,76.197,75.927,75.94,75.94,0,0.32%
13-Apr-22,76.15,76.28,76.023,76.15,76.15,0,0.05%
14-Apr-22,76.147,76.294,76.074,76.147,76.147,0,0.22%
15-Apr-22,76.309,76.349,76.278,76.309,76.309,0,0.05%
18-Apr-22,76.313,76.435,76.205,76.313,76.313,0,-0.06%
19-Apr-22,76.293,76.573,76.246,76.293,76.293,0,0.22%
20-Apr-22,76.477,76.533,76.149,76.477,76.477,0,-0.25%
21-Apr-22,76.265,76.373,76.076,76.265,76.265,0,0.00%
22-Apr-22,76.296,76.546,76.195,76.296,76.296,0,0.29%
25-Apr-22,76.558,76.788,76.543,76.558,76.558,0,0.34%
26-Apr-22,76.553,76.698,76.436,76.553,76.553,0,-0.08%
27-Apr-22,76.768,76.806,76.49,76.768,76.768,0,-0.07%
28-Apr-22,76.54,76.732,76.419,76.54,76.54,0,0.07%
29-Apr-22,76.618,76.694,76.271,76.618,76.618,0,-0.18%
2-May-22,76.505,76.533,76.334,76.505,76.505,0,-0.07%
3-May-22,76.49,76.692,76.449,76.49,76.49,0,-0.01%
4-May-22,76.453,76.589,76.19,76.453,76.453,0,-0.27%
5-May-22,76.155,76.577,75.99,76.155,76.155,0,0.31%
6-May-22,76.518,77.078,76.512,76.518,76.518,0,0.61%
9-May-22,77.001,77.536,76.988,77.001,77.001,0,0.51%
10-May-22,77.381,77.458,77.115,77.381,77.381,0,-0.19%
11-May-22,77.268,77.509,77.145,77.268,77.268,0,0.27%
12-May-22,77.423,77.635,77.304,77.423,77.423,0,0.01%
13-May-22,77.44,77.562,77.253,77.44,77.44,0,0.06%
16-May-22,77.499,77.915,77.499,77.499,77.499,0,0.44%
17-May-22,77.805,77.81,77.375,77.805,77.805,0,-0.46%
18-May-22,77.463,77.81,77.46,77.463,77.463,0,0.45%
19-May-22,77.815,77.82,77.386,77.815,77.815,0,-0.51%
20-May-22,77.444,77.899,77.432,77.444,77.444,0,0.58%
23-May-22,77.675,77.73,77.439,77.675,77.675,0,-0.43%
24-May-22,77.543,77.687,77.469,77.543,77.543,0,-0.07%
25-May-22,77.479,77.641,77.442,77.479,77.479,0,0.06%
26-May-22,77.502,77.721,77.486,77.502,77.502,0,0.14%
27-May-22,77.638,77.683,77.53,77.638,77.638,0,-0.02%
30-May-22,77.594,77.594,77.473,77.594,77.594,0,-0.08%
31-May-22,77.553,77.746,77.541,77.553,77.553,0,0.04%
1-Jun-22,77.646,77.66,77.442,77.646,77.646,0,-0.02%
2-Jun-22,77.556,77.654,77.383,77.556,77.556,0,-0.22%
3-Jun-22,77.425,77.662,77.385,77.425,77.425,0,0.27%
6-Jun-22,77.69,77.854,77.564,77.69,77.69,0,0.26%
7-Jun-22,77.795,77.841,77.627,77.795,77.795,0,-0.19%
8-Jun-22,77.703,77.791,77.6,77.703,77.703,0,0.05%
9-Jun-22,77.721,77.881,77.686,77.721,77.721,0,0.15%
10-Jun-22,77.78,78.202,77.762,77.78,77.78,0,0.41%
13-Jun-22,78.195,78.313,77.968,78.195,78.195,0,-0.04%
14-Jun-22,78.105,78.105,77.93,78.105,78.105,0,-0.12%
15-Jun-22,78.013,78.229,77.971,78.013,78.013,0,0.20%
16-Jun-22,78.037,78.109,77.911,78.037,78.037,0,-0.26%
17-Jun-22,78.005,78.113,77.944,78.005,78.005,0,-0.02%
20-Jun-22,78.004,78.037,77.856,78.004,78.004,0,-0.05%
21-Jun-22,77.949,78.151,77.929,77.949,77.949,0,0.28%
22-Jun-22,78.135,78.395,78.106,78.135,78.135,0,0.06%
23-Jun-22,78.22,78.386,78.129,78.22,78.22,0,-0.03%
24-Jun-22,78.162,78.365,78.113,78.162,78.162,0,0.12%
27-Jun-22,78.268,78.571,78.193,78.268,78.268,0,0.24%
28-Jun-22,78.449,79.049,78.432,78.449,78.449,0,0.70%
29-Jun-22,79.007,79.07,78.843,79.007,79.007,0,-0.06%
30-Jun-22,78.915,79.095,78.866,78.915,78.915,0,0.04%
1-Jul-22,78.97,79.136,78.805,78.97,78.97,0,-0.03%
4-Jul-22,78.978,79.062,78.859,78.978,78.978,0,-0.02%
5-Jul-22,78.965,79.427,78.945,78.965,78.965,0,0.46%
6-Jul-22,79.163,79.383,78.918,79.163,79.163,0,-0.32%
7-Jul-22,79.048,79.261,78.885,79.048,79.048,0,0.16%
8-Jul-22,79.18,79.435,79.128,79.18,79.18,0,0.14%
11-Jul-22,79.255,79.585,79.255,79.255,79.255,0,0.19%
12-Jul-22,79.466,79.666,79.459,79.466,79.466,0,0.05%
13-Jul-22,79.49,79.87,79.475,79.49,79.49,0,0.25%
14-Jul-22,79.708,80.235,79.666,79.708,79.708,0,0.30%
15-Jul-22,79.867,79.979,79.715,79.867,79.867,0,-0.16%
18-Jul-22,79.817,80.02,79.703,79.817,79.817,0,0.29%
19-Jul-22,79.989,80.072,79.857,79.989,79.989,0,-0.18%
20-Jul-22,79.907,80.067,79.878,79.907,79.907,0,0.16%
21-Jul-22,80.026,80.067,79.76,80.026,80.026,0,-0.16%
22-Jul-22,79.883,79.938,79.803,79.883,79.883,0,-0.03%
25-Jul-22,79.784,79.885,79.678,79.784,79.784,0,-0.17%
26-Jul-22,79.735,79.884,79.692,79.735,79.735,0,0.19%
27-Jul-22,79.823,79.995,79.774,79.823,79.823,0,0.00%
28-Jul-22,79.763,79.855,79.586,79.763,79.763,0,-0.27%
29-Jul-22,79.604,79.604,79.168,79.604,79.604,0,-0.36%
1-Aug-22,79.185,79.241,78.894,79.185,79.185,0,-0.48%
2-Aug-22,78.961,79.002,78.393,78.961,78.961,0,-0.47%
3-Aug-22,78.627,79.243,78.574,78.627,78.627,0,0.66%
4-Aug-22,79.096,79.84,79.048,79.096,79.096,0,0.07%
5-Aug-22,79.16,79.494,78.918,79.16,79.16,0,0.25%
8-Aug-22,79.425,79.689,79.42,79.425,79.425,0,0.28%
9-Aug-22,79.582,79.661,79.497,79.582,79.582,0,-0.03%
10-Aug-22,79.56,79.613,79.018,79.56,79.56,0,-0.59%
11-Aug-22,79.066,79.695,79.066,79.066,79.066,0,0.62%
12-Aug-22,79.61,79.759,79.59,79.61,79.61,0,0.08%
15-Aug-22,79.654,79.658,79.459,79.654,79.654,0,-0.15%
16-Aug-22,79.55,79.605,79.25,79.55,79.55,0,-0.34%
17-Aug-22,79.166,79.514,79.155,79.166,79.166,0,0.13%
18-Aug-22,79.405,79.765,79.372,79.405,79.405,0,0.50%
19-Aug-22,79.775,79.943,79.698,79.775,79.775,0,0.21%
22-Aug-22,79.905,79.93,79.769,79.905,79.905,0,-0.09%
23-Aug-22,79.875,79.919,79.682,79.875,79.875,0,0.00%
24-Aug-22,79.875,79.9,79.691,79.875,79.875,0,-0.08%
25-Aug-22,79.811,80.006,79.749,79.811,79.811,0,0.10%
26-Aug-22,79.883,79.983,79.709,79.883,79.883,0,0.12%
29-Aug-22,79.989,80.135,79.892,79.989,79.989,0,-0.01%
30-Aug-22,79.968,79.985,79.417,79.968,79.968,0,-0.36%
31-Aug-22,79.707,79.717,79.415,79.707,79.707,0,-0.22%
1-Sep-22,79.535,79.74,79.281,79.535,79.535,0,0.23%
2-Sep-22,79.71,79.914,79.604,79.71,79.71,0,0.06%
5-Sep-22,79.925,79.927,79.752,79.925,79.925,0,0.08%
6-Sep-22,79.803,79.916,79.735,79.803,79.803,0,0.11%
7-Sep-22,79.908,79.974,79.594,79.908,79.908,0,-0.30%
8-Sep-22,79.66,79.838,79.636,79.66,79.66,0,0.05%
9-Sep-22,79.672,79.683,79.452,79.672,79.672,0,-0.04%
